('worldcat', 'online computer library center', {'weight': 0.6})
('worldcat', 'google', {'weight': 0.6})
('worldcat', 'dallas public library', {'weight': 0.6})
('worldcat', 'card catalogs', {'weight': 0.6})
('worldcat', 'library', {'weight': 0.6})
('worldcat', 'suncat', {'weight': 0.6})
('worldcat', 'online database', {'weight': 0.6})
('worldcat', 'computer terminal', {'weight': 0.6})
('worldcat', 'oclc', {'weight': 0.5})
('worldcat', 'library computer system', {'weight': 0.6})
('worldcat', 'psycinfo', {'weight': 0.6})
('worldcat', 'eric', {'weight': 0.6})
('worldcat', 'libramatic', {'weight': 0.6})
('worldcat', 'list of next-generation library catalogs', {'weight': 0.6})
('worldcat', 'consortium', {'weight': 0.6})
('worldcat', 'interlibrary loan', {'weight': 0.6})
('worldcat', 'worldcat', {'weight': 1})
('worldcat', 'catalogues', {'weight': 0.5})
('worldcat', 'bibliographic databases', {'weight': 0.5})
('worldcat', 'library and archives canada', {'weight': 0.7})
('worldcat', 'research libraries uk', {'weight': 0.7})
('worldcat', 'nla trove', {'weight': 0.6})
('worldcat', 'metadata', {'weight': 0.6})
('worldcat', 'dynix (software)', {'weight': 0.6})
('worldcat', 'telnet', {'weight': 0.6})
('worldcat', 'digital object identifier', {'weight': 0.6})
('worldcat', 'amazon.com', {'weight': 0.6})
('worldcat', 'dspace', {'weight': 0.6})
('worldcat', 'medline', {'weight': 0.6})
('worldcat', 'bibliographic database', {'weight': 0.6})
('worldcat', 'born-digital', {'weight': 0.6})
('worldcat', 'cooperatives', {'weight': 0.5})
('worldcat', 'library catalog', {'weight': 0.6})
('worldcat', 'websites', {'weight': 0.5})
('worldcat', 'copac', {'weight': 0.7})
('worldcat', 'faceted search', {'weight': 0.6})
('worldcat', 'integrated library system', {'weight': 0.6})
('worldcat', 'ohio state university', {'weight': 0.6})
('worldcat', 'digital commons', {'weight': 0.6})
('medline', 'online computer library center', {'weight': 0.6})
('medline', 'google', {'weight': 0.6})
('medline', 'dallas public library', {'weight': 0.6})
('medline', 'card catalogs', {'weight': 0.6})
('medline', 'national institutes of health', {'weight': 0.5})
('medline', 'library', {'weight': 0.6})
('medline', 'suncat', {'weight': 0.6})
('medline', 'online database', {'weight': 0.6})
('medline', 'integrated library system', {'weight': 0.6})
('medline', 'digital commons', {'weight': 0.6})
('medline', 'library computer system', {'weight': 0.6})
('medline', 'psycinfo', {'weight': 0.6})
('medline', 'eric', {'weight': 0.6})
