('jvx (framework)', 'browser game', {'weight': 0.6})
('jvx (framework)', 'code', {'weight': 0.6})
('jvx (framework)', 'computing', {'weight': 0.6})
('jvx (framework)', 'linux', {'weight': 0.6})
('jvx (framework)', 'wysiwyg', {'weight': 0.6})
('jvx (framework)', 'check box', {'weight': 0.6})
('jvx (framework)', 'bytecode', {'weight': 0.6})
('jvx (framework)', 'java servlet', {'weight': 0.6})
('jvx (framework)', 'internet explorer', {'weight': 0.6})
('jvx (framework)', 'html element', {'weight': 0.6})
('jvx (framework)', 'java (programming language)', {'weight': 0.6})
('jvx (framework)', 'open platform', {'weight': 0.6})
('jvx (framework)', 'java virtual machine', {'weight': 0.6})
('jvx (framework)', 'citeseer', {'weight': 0.6})
('jvx (framework)', 'unix', {'weight': 0.6})
('jvx (framework)', 'swf', {'weight': 0.6})
('jvx (framework)', 'html', {'weight': 0.6})
('jvx (framework)', 'button (computing)', {'weight': 0.6})
('jvx (framework)', 'mac os', {'weight': 0.6})
('jvx (framework)', 'bookmarklet', {'weight': 0.6})
('jvx (framework)', 'microsoft windows', {'weight': 0.6})
('jvx (framework)', 'java applet', {'weight': 0.6})
('jvx (framework)', 'cortado (software)', {'weight': 0.6})
('jvx (framework)', 'windows media player', {'weight': 0.6})
('jvx (framework)', 'quicktime', {'weight': 0.6})
('jvx (framework)', 'command-line interface', {'weight': 0.6})
('jvx (framework)', 'application (computing)', {'weight': 0.6})
('jvx (framework)', 'widget engine', {'weight': 0.6})
('jvx (framework)', 'plug-in (computing)', {'weight': 0.6})
('jvx (framework)', 'news ticker', {'weight': 0.6})
('jvx (framework)', 'wyswyg', {'weight': 0.6})
('jvx (framework)', '3d modeling', {'weight': 0.6})
('jvx (framework)', 'container (data structure)', {'weight': 0.6})
('jvx (framework)', 'abstract window toolkit', {'weight': 0.6})
('jvx (framework)', 'web browser', {'weight': 0.6})
('jvx (framework)', 'embedded system', {'weight': 0.6})
('jvx (framework)', 'web page', {'weight': 0.6})
('jvx (framework)', 'program (computing)', {'weight': 0.6})
('jvx (framework)', 'application posture', {'weight': 0.6})
('jvx (framework)', 'mouse (computing)', {'weight': 0.6})
('smarteiffel', 'browser game', {'weight': 0.6})
('smarteiffel', 'code', {'weight': 0.6})
('smarteiffel', 'computing', {'weight': 0.6})
('smarteiffel', 'linux', {'weight': 0.6})
('smarteiffel', 'wysiwyg', {'weight': 0.6})
('smarteiffel', 'check box', {'weight': 0.6})
('smarteiffel', 'bytecode', {'weight': 0.6})
('smarteiffel', 'java servlet', {'weight': 0.6})
('smarteiffel', 'internet explorer', {'weight': 0.6})
('smarteiffel', 'html element', {'weight': 0.6})
('smarteiffel', 'java (programming language)', {'weight': 0.6})
('smarteiffel', 'open platform', {'weight': 0.6})
('smarteiffel', 'java virtual machine', {'weight': 0.6})
('smarteiffel', 'citeseer', {'weight': 0.6})
('smarteiffel', 'unix', {'weight': 0.6})
('smarteiffel', 'swf', {'weight': 0.6})
('smarteiffel', 'html', {'weight': 0.6})
('smarteiffel', 'button (computing)', {'weight': 0.6})
('smarteiffel', 'mac os', {'weight': 0.6})
('smarteiffel', 'bookmarklet', {'weight': 0.6})
('smarteiffel', 'microsoft windows', {'weight': 0.6})
('smarteiffel', 'java applet', {'weight': 0.6})
('smarteiffel', 'cortado (software)', {'weight': 0.6})
('smarteiffel', 'windows media player', {'weight': 0.6})
('smarteiffel', 'quicktime', {'weight': 0.6})
('smarteiffel', 'command-line interface', {'weight': 0.6})
('smarteiffel', 'application (computing)', {'weight': 0.6})
('smarteiffel', 'widget engine', {'weight': 0.6})
('smarteiffel', 'plug-in (computing)', {'weight': 0.6})
('smarteiffel', 'news ticker', {'weight': 0.6})
('smarteiffel', 'wyswyg', {'weight': 0.6})
('smarteiffel', '3d modeling', {'weight': 0.6})
('smarteiffel', 'container (data structure)', {'weight': 0.6})
('smarteiffel', 'abstract window toolkit', {'weight': 0.6})
('smarteiffel', 'web browser', {'weight': 0.6})
('smarteiffel', 'embedded system', {'weight': 0.6})
('smarteiffel', 'web page', {'weight': 0.6})
('smarteiffel', 'program (computing)', {'weight': 0.6})
('smarteiffel', 'application posture', {'weight': 0.6})
('smarteiffel', 'mouse (computing)', {'weight': 0.6})
('bytecode', 'common intermediate language', {'weight': 0.7})
('bytecode', 'browser game', {'weight': 0.6})
('bytecode', 'code', {'weight': 0.6})
('bytecode', 'java portal', {'weight': 0.7})
('bytecode', 'computing', {'weight': 0.6})
('bytecode', 'widget engine', {'weight': 0.6})
('bytecode', 'wysiwyg', {'weight': 0.6})
('bytecode', 'check box', {'weight': 0.6})
('bytecode', 'bytecode', {'weight': 1})
('bytecode', 'list of jvm languages', {'weight': 0.7})
('bytecode', 'java servlet', {'weight': 0.6})
('bytecode', 'internet explorer', {'weight': 0.6})
('bytecode', 'html element', {'weight': 0.6})
('bytecode', 'java (programming language)', {'weight': 0.6})
('bytecode', 'open platform', {'weight': 0.6})
('bytecode', 'java virtual machine', {'weight': 0.6})
('bytecode', 'jstik', {'weight': 0.7})
('bytecode', 'citeseer', {'weight': 0.6})
('bytecode', 'unix', {'weight': 0.6})
('bytecode', 'swf', {'weight': 0.6})
('bytecode', 'html', {'weight': 0.6})
('bytecode', 'button (computing)', {'weight': 0.6})
('bytecode', 'mac os', {'weight': 0.6})
('bytecode', 'bookmarklet', {'weight': 0.6})
('bytecode', 'microsoft windows', {'weight': 0.6})
('bytecode', 'java applet', {'weight': 0.6})
('bytecode', 'java backporting tools', {'weight': 0.7})
('bytecode', 'java bytecode instruction listings', {'weight': 0.7})
('bytecode', 'cortado (software)', {'weight': 0.6})
('bytecode', 'windows media player', {'weight': 0.6})
('bytecode', 'quicktime', {'weight': 0.6})
('bytecode', 'command-line interface', {'weight': 0.6})
('bytecode', 'application (computing)', {'weight': 0.6})
('bytecode', 'assembly languages', {'weight': 0.5})
('bytecode', 'plug-in (computing)', {'weight': 0.6})
('bytecode', 'c to java virtual machine compilers', {'weight': 0.7})
('bytecode', 'news ticker', {'weight': 0.6})
('bytecode', 'wyswyg', {'weight': 0.6})
('bytecode', 'objectweb asm', {'weight': 0.7})
('bytecode', 'linux', {'weight': 0.6})
('bytecode', '3d modeling', {'weight': 0.6})
('bytecode', 'container (data structure)', {'weight': 0.6})
('bytecode', 'abstract window toolkit', {'weight': 0.6})
('bytecode', 'java platform', {'weight': 0.5})
('bytecode', 'java class file', {'weight': 0.7})
('bytecode', 'web browser', {'weight': 0.6})
('bytecode', 'embedded system', {'weight': 0.6})
('bytecode', 'web page', {'weight': 0.6})
('bytecode', 'program (computing)', {'weight': 0.6})
('bytecode', 'application posture', {'weight': 0.6})
('bytecode', 'mouse (computing)', {'weight': 0.6})
('java remote method invocation', 'browser game', {'weight': 0.6})
('java remote method invocation', 'code', {'weight': 0.6})
('java remote method invocation', 'computing', {'weight': 0.6})
('java remote method invocation', 'linux', {'weight': 0.6})
('java remote method invocation', 'wysiwyg', {'weight': 0.6})
('java remote method invocation', 'check box', {'weight': 0.6})
('java remote method invocation', 'bytecode', {'weight': 0.6})
('java remote method invocation', 'java servlet', {'weight': 0.6})
('java remote method invocation', 'internet explorer', {'weight': 0.6})
('java remote method invocation', 'remote procedure call', {'weight': 0.5})
('java remote method invocation', 'java (programming language)', {'weight': 0.6})
('java remote method invocation', 'open platform', {'weight': 0.6})
('java remote method invocation', 'java virtual machine', {'weight': 0.6})
('java remote method invocation', 'citeseer', {'weight': 0.6})
('java remote method invocation', 'unix', {'weight': 0.6})
('java remote method invocation', 'swf', {'weight': 0.6})
('java remote method invocation', 'html', {'weight': 0.6})
('java remote method invocation', 'button (computing)', {'weight': 0.6})
('java remote method invocation', 'mac os', {'weight': 0.6})
('java remote method invocation', 'bookmarklet', {'weight': 0.6})
('java remote method invocation', 'microsoft windows', {'weight': 0.6})
('java remote method invocation', 'java applet', {'weight': 0.6})
('java remote method invocation', 'cortado (software)', {'weight': 0.6})
('java remote method invocation', 'windows media player', {'weight': 0.6})
('java remote method invocation', 'quicktime', {'weight': 0.6})
('java remote method invocation', 'command-line interface', {'weight': 0.6})
('java remote method invocation', 'application (computing)', {'weight': 0.6})
('java remote method invocation', 'html element', {'weight': 0.6})
('java remote method invocation', 'widget engine', {'weight': 0.6})
('java remote method invocation', 'plug-in (computing)', {'weight': 0.6})
('java remote method invocation', 'news ticker', {'weight': 0.6})
('java remote method invocation', 'wyswyg', {'weight': 0.6})
('java remote method invocation', '3d modeling', {'weight': 0.6})
('java remote method invocation', 'container (data structure)', {'weight': 0.6})
('java remote method invocation', 'abstract window toolkit', {'weight': 0.6})
('java remote method invocation', 'java platform', {'weight': 0.5})
('java remote method invocation', 'web browser', {'weight': 0.6})
('java remote method invocation', 'embedded system', {'weight': 0.6})
('java remote method invocation', 'web page', {'weight': 0.6})
('java remote method invocation', 'program (computing)', {'weight': 0.6})
('java remote method invocation', 'application posture', {'weight': 0.6})
('java remote method invocation', 'mouse (computing)', {'weight': 0.6})
('apache pivot', 'browser game', {'weight': 0.6})
('apache pivot', 'code', {'weight': 0.6})
('apache pivot', 'computing', {'weight': 0.6})
('apache pivot', 'linux', {'weight': 0.6})
('apache pivot', 'wysiwyg', {'weight': 0.6})
('apache pivot', 'check box', {'weight': 0.6})
('apache pivot', 'bytecode', {'weight': 0.6})
('apache pivot', 'java servlet', {'weight': 0.6})
('apache pivot', 'internet explorer', {'weight': 0.6})
('apache pivot', 'html element', {'weight': 0.6})
('apache pivot', 'java (programming language)', {'weight': 0.6})
('apache pivot', 'open platform', {'weight': 0.6})
('apache pivot', 'java virtual machine', {'weight': 0.6})
('apache pivot', 'citeseer', {'weight': 0.6})
('apache pivot', 'unix', {'weight': 0.6})
('apache pivot', 'swf', {'weight': 0.6})
('apache pivot', 'html', {'weight': 0.6})
('apache pivot', 'button (computing)', {'weight': 0.6})
('apache pivot', 'mac os', {'weight': 0.6})
('apache pivot', 'bookmarklet', {'weight': 0.6})
('apache pivot', 'microsoft windows', {'weight': 0.6})
('apache pivot', 'java applet', {'weight': 0.6})
('apache pivot', 'cortado (software)', {'weight': 0.6})
('apache pivot', 'windows media player', {'weight': 0.6})
('apache pivot', 'quicktime', {'weight': 0.6})
('apache pivot', 'command-line interface', {'weight': 0.6})
('apache pivot', 'application (computing)', {'weight': 0.6})
('apache pivot', 'widget engine', {'weight': 0.6})
('apache pivot', 'plug-in (computing)', {'weight': 0.6})
('apache pivot', 'news ticker', {'weight': 0.6})
('apache pivot', 'wyswyg', {'weight': 0.6})
('apache pivot', '3d modeling', {'weight': 0.6})
('apache pivot', 'container (data structure)', {'weight': 0.6})
('apache pivot', 'abstract window toolkit', {'weight': 0.6})
('apache pivot', 'web browser', {'weight': 0.6})
('apache pivot', 'embedded system', {'weight': 0.6})
('apache pivot', 'web page', {'weight': 0.6})
('apache pivot', 'program (computing)', {'weight': 0.6})
('apache pivot', 'application posture', {'weight': 0.6})
('apache pivot', 'mouse (computing)', {'weight': 0.6})
('jazelle', 'browser game', {'weight': 0.6})
('jazelle', 'code', {'weight': 0.6})
('jazelle', 'computing', {'weight': 0.6})
('jazelle', 'linux', {'weight': 0.6})
('jazelle', 'container (data structure)', {'weight': 0.6})
('jazelle', 'wysiwyg', {'weight': 0.6})
('jazelle', 'check box', {'weight': 0.6})
('jazelle', 'bytecode', {'weight': 0.6})
('jazelle', 'java servlet', {'weight': 0.6})
('jazelle', 'internet explorer', {'weight': 0.6})
